EnzymeID,GeneName,UniProtID,Taxon,TaxonID,Name,Co-Faktor,Complex,Set,Candidate
R-BTA-1500634,PLA2G2F,A0A3Q1MFE1,Bos taurus,2,PLA2(1) [cytosol],,False,True,False
R-BTA-1524035,MBOAT2,F1MH02,Bos taurus,2,LPEAT [endoplasmic reticulum membrane],,False,True,False
R-BTA-1500630,,,Bos taurus,2,PLA2G2A:Ca2+ [endoplasmic reticulum membrane],calcium(2+),True,False,False
R-BTA-1524040,PLA2G4F,F1MNU5,Bos taurus,2,PLA2(8) [cytosol],,False,True,False
R-BTA-1498760,CRLS1,A5PJS7,Bos taurus,2,CRLS1 [mitochondrial inner membrane],-,False,False,False
R-BTA-428994,LPCAT3,G8JL05,Bos taurus,2,LPCAT3 [endoplasmic reticulum membrane],-,False,False,False
R-BTA-549076,GPAT2,F1MLW9,Bos taurus,2,GPAT2 [mitochondrial outer membrane],-,False,False,False
R-BTA-3215272,PLA2G4F,F1MNU5,Bos taurus,2,PLA2G [mitochondrial inner membrane],,False,False,True
R-BTA-1524157,PLA2G4F,F1MNU5,Bos taurus,2,PLA2(9) [cytosol],,False,True,False
R-BTA-1500630,,,Bos taurus,2,PLA2G2A:Ca2+ [endoplasmic reticulum membrane],calcium(2+),True,False,False
R-BTA-1498816,,G5E554,Bos taurus,2,PNPLA3 [endoplasmic reticulum membrane],-,False,False,False
R-BTA-1299435,TAZ,A0A3Q1MVZ7,Bos taurus,2,TAZ [mitochondrial inner membrane],-,False,False,False
R-BTA-1299435,TAZ,A0A3Q1MVZ7,Bos taurus,2,TAZ [mitochondrial inner membrane],-,False,False,False
R-BTA-1498816,,G5E554,Bos taurus,2,PNPLA3 [endoplasmic reticulum membrane],-,False,False,False
R-BTA-1524107,PNPLA8,E1BE78,Bos taurus,2,PLA2(6) [endoplasmic reticulum membrane],,False,True,False
R-BTA-1524151,PLA2G4F,F1MNU5,Bos taurus,2,PLA2(11) [cytosol],,False,True,False
R-BTA-1524135,PLA2G4F,F1MNU5,Bos taurus,2,PLA2(4) [cytosol],,False,True,False
R-BTA-3215272,PLA2G4F,F1MNU5,Bos taurus,2,PLA2G [mitochondrial inner membrane],,False,False,True
R-BTA-1299435,TAZ,A0A3Q1MVZ7,Bos taurus,2,TAZ [mitochondrial inner membrane],-,False,False,False
R-BTA-1524120,PLA2G4F,F1MNU5,Bos taurus,2,PLA2(5) [cytosol],,False,True,False
R-BTA-1498783,,A0A3Q1LJ33,Bos taurus,2,LCLAT1 [endoplasmic reticulum membrane],-,False,False,False
R-BTA-1524040,PLA2G4F,F1MNU5,Bos taurus,2,PLA2(8) [cytosol],,False,True,False
R-BTA-1498783,,A0A3Q1LJ33,Bos taurus,2,LCLAT1 [endoplasmic reticulum membrane],-,False,False,False
R-BTA-1500630,,,Bos taurus,2,PLA2G2A:Ca2+ [endoplasmic reticulum membrane],calcium(2+),True,False,False
R-BTA-1524157,PLA2G4F,F1MNU5,Bos taurus,2,PLA2(9) [cytosol],,False,True,False
R-BTA-1524107,PNPLA8,E1BE78,Bos taurus,2,PLA2(6) [endoplasmic reticulum membrane],,False,True,False
R-BTA-200109,,F1MIW3,Bos taurus,2,DGAT1 tetramer [endoplasmic reticulum membrane],,True,False,False
R-BTA-1299435,TAZ,A0A3Q1MVZ7,Bos taurus,2,TAZ [mitochondrial inner membrane],-,False,False,False
R-BTA-1524155,PLA2G4F,F1MNU5,Bos taurus,2,PLA2(10) [cytosol],,False,True,False
R-BTA-1500634,PLA2G2F,A0A3Q1MFE1,Bos taurus,2,PLA2(1) [cytosol],,False,True,False
R-BTA-1500630,,,Bos taurus,2,PLA2G2A:Ca2+ [endoplasmic reticulum membrane],calcium(2+),True,False,False
R-BTA-1524155,PLA2G4F,F1MNU5,Bos taurus,2,PLA2(10) [cytosol],,False,True,False
R-BTA-1524143,PLA2G4D,F1MG30,Bos taurus,2,PLA2(13) [cytosol],,False,True,False
R-BTA-1500584,,,Bos taurus,2,EPT1:Mg2+/Mn2+ [endoplasmic reticulum membrane],manganese(2+),True,False,False
R-BTA-1500647,,,Bos taurus,2,CDIPT:Mg2+/Mn2+ [endoplasmic reticulum membrane],manganese(2+),True,False,False
R-BTA-1524078,CHKB,A0A3Q1MPV1,Bos taurus,2,CHK dimer [cytosol],,False,True,False
R-BTA-1498760,CRLS1,A5PJS7,Bos taurus,2,CRLS1 [mitochondrial inner membrane],-,False,False,False
R-BTA-1498817,PTDSS2,A0A3Q1MFE2,Bos taurus,2,PTDSS2 [endoplasmic reticulum membrane],-,False,False,False
R-BTA-1500633,PHOSPHO1,E1BCN8,Bos taurus,2,PHOSPHO1:Mg2+ [cytosol],,True,False,False
R-BTA-1500651,CDS1,G3MZU2,Bos taurus,2,CDS1:Mg2+ [endoplasmic reticulum membrane],,True,False,False
R-BTA-1500633,PHOSPHO1,E1BCN8,Bos taurus,2,PHOSPHO1:Mg2+ [cytosol],,True,False,False
R-BTA-1498755,CDS2,A0JNC1,Bos taurus,2,CDS2 [mitochondrial inner membrane],-,False,False,False
R-BTA-1500639,PLD2,A0A3Q1MFB9,Bos taurus,2,PLD1/2 [endoplasmic reticulum membrane],,False,True,False
R-BTA-1498806,PTDSS1,Q2KHY9,Bos taurus,2,PTDSS1 [endoplasmic reticulum membrane],-,False,False,False
R-BTA-1500642,,A0A3Q1MLB5,Bos taurus,2,PCYT2 dimer [endoplasmic reticulum membrane],,True,False,False
R-BTA-1500636,LPIN3,E1BLQ9,Bos taurus,2,LPIN [endoplasmic reticulum membrane],,False,True,False
R-BTA-1500636,LPIN3,E1BLQ9,Bos taurus,2,LPIN [endoplasmic reticulum membrane],,False,True,False
R-BTA-1500619,CHKB,A0A3Q1MPV1,Bos taurus,2,CHK/ETNK [cytosol],,False,True,False
R-BTA-191990,SLC27A5,A6QM10,Bos taurus,2,SLC27A5 [endoplasmic reticulum membrane],-,False,False,False
R-BTA-1602354,PLA2G5,A0A3Q1M5P6,Bos taurus,2,PLA2(16) [extracellular region],,False,True,False
R-BTA-1602354,PLA2G5,A0A3Q1M5P6,Bos taurus,2,PLA2(16) [extracellular region],,False,True,False
R-BTA-1602354,PLA2G5,A0A3Q1M5P6,Bos taurus,2,PLA2(16) [extracellular region],,False,True,False
R-BTA-1602354,PLA2G5,A0A3Q1M5P6,Bos taurus,2,PLA2(16) [extracellular region],,False,True,False
R-BTA-975621,,A0A3Q1LP79,Bos taurus,2,PLB1 [plasma membrane],-,False,False,False
R-BTA-1602354,PLA2G5,A0A3Q1M5P6,Bos taurus,2,PLA2(16) [extracellular region],,False,True,False
R-BTA-1602354,PLA2G5,A0A3Q1M5P6,Bos taurus,2,PLA2(16) [extracellular region],,False,True,False
R-BTA-1605656,HEXB,H7BWW2,Bos taurus,2,HEXA [lysosomal lumen],,True,False,False
R-BTA-3662340,HEXB,H7BWW2,Bos taurus,2,"HEXA,B [lysosomal lumen]",,False,True,False
R-BTA-1605614,GM2A,E1BI28,Bos taurus,2,GM2A [lysosomal lumen],-,False,False,False
R-BTA-1605759,,G5E5Q1,Bos taurus,2,NEU2 [cytosol],-,False,False,False
R-BTA-1605606,NEU4,E1BMN0,Bos taurus,2,NEU4 [lysosomal lumen],-,False,False,False
R-BTA-1605744,,E1B725,Bos taurus,2,GLA dimer [lysosomal lumen],,True,False,False
R-BTA-1605644,NEU3,F1MRJ3,Bos taurus,2,NEU3 [plasma membrane],-,False,False,False
R-BTA-1605710,SMPD1,Q0VD19,Bos taurus,2,SMPD1 [lysosomal lumen],-,False,False,False
R-BTA-1606266,,,Bos taurus,2,"SMPD2,3:Mg2+ [plasma membrane]",magnesium(2+),True,False,False
R-BTA-4127415,ASAH2,E1BJU5,Bos taurus,2,ASAH2-like proteins [plasma membrane],,False,False,True
R-BTA-1606803,STS,A0A3Q1LZ44,Bos taurus,2,active STS dimer [endoplasmic reticulum membrane],,True,False,False
R-BTA-1614316,SUMF1,Q0P5L5,Bos taurus,2,SUMF1 [endoplasmic reticulum lumen],-,False,False,False
R-BTA-1631585,UGCG,Q08DR4,Bos taurus,2,UGCG [Golgi membrane],-,False,False,False
R-BTA-1631584,CERK,G3MXL8,Bos taurus,2,CERK [plasma membrane],-,False,False,False
R-BTA-1631583,ENPP7,F1N1R7,Bos taurus,2,ENPP7 [plasma membrane],-,False,False,False
R-BTA-1655831,-,-,Bos taurus,2,omitted,-,False,False,False
R-BTA-1806157,PIP5K1A,A6QLC5,Bos taurus,2,PIP5K1A-C [cytosol],,False,True,False
R-BTA-1806229,PIP4K2B,F1MHT2,Bos taurus,2,PIP4K2 dimers [cytosol],,False,True,False
R-BTA-1806167,,F1MK34,Bos taurus,2,PI4K2A/2B [cytosol],,False,True,False
R-BTA-1604658,MTMR4,A0A3Q1LHW5,Bos taurus,2,MTMR4 [cytosol],-,False,False,False
R-BTA-1806245,PIP5K1A,A6QLC5,Bos taurus,2,PIP5K1A/B [cytosol],,False,True,False
R-BTA-1604675,,F1MK34,Bos taurus,2,PI4K2B [cytosol],-,False,False,False
R-BTA-1604585,INPP5E,E1BAU6,Bos taurus,2,INPP5E [cytosol],-,False,False,False
R-BTA-1806247,PIK3C2G,E1B8D1,Bos taurus,2,PIK3C2A/G [cytosol],,False,True,False
R-BTA-1604655,,,Bos taurus,2,PIK3C2A:Ca2+/Mg2+ [cytosol],magnesium(2+),True,False,False
R-BTA-1806186,INPP5J,E1BLB5,Bos taurus,2,INPP5(2) [cytosol],,False,True,False
R-BTA-1604655,,,Bos taurus,2,PIK3C2A:Ca2+/Mg2+ [cytosol],magnesium(2+),True,False,False
R-BTA-1806167,,F1MK34,Bos taurus,2,PI4K2A/2B [cytosol],,False,True,False
R-BTA-1806223,MTMR6,A0A3Q1LYK5,Bos taurus,2,"MTM1,MTMR1,MTMR3,MTMR6,MTMR14,SYNJ1,SYNJ2 [cytosol]",,False,True,False
R-BTA-1604655,,,Bos taurus,2,PIK3C2A:Ca2+/Mg2+ [cytosol],magnesium(2+),True,False,False
R-BTA-1806233,PIK3CB,F1MYM3,Bos taurus,2,PIK3C(1) [cytosol],,False,True,False
R-BTA-1604658,MTMR4,A0A3Q1LHW5,Bos taurus,2,MTMR4 [cytosol],-,False,False,False
R-BTA-1806157,PIP5K1A,A6QLC5,Bos taurus,2,PIP5K1A-C [cytosol],,False,True,False
R-BTA-1604658,MTMR4,A0A3Q1LHW5,Bos taurus,2,MTMR4 [cytosol],-,False,False,False
R-BTA-1806189,PIK3CB,F1MYM3,Bos taurus,2,PIK3(2) [cytosol],,False,True,False
R-BTA-1806245,PIP5K1A,A6QLC5,Bos taurus,2,PIP5K1A/B [cytosol],,False,True,False
R-BTA-1604658,MTMR4,A0A3Q1LHW5,Bos taurus,2,MTMR4 [cytosol],-,False,False,False
R-BTA-1806163,PIP5K1A,A6QLC5,Bos taurus,2,PIP4K2/5K1 [cytosol],,False,True,False
R-BTA-1604582,,A0A3Q1LSR1,Bos taurus,2,INPP4B [cytosol],-,False,False,False
R-BTA-1604582,,A0A3Q1LSR1,Bos taurus,2,INPP4B [cytosol],-,False,False,False
R-BTA-1806201,INPP5J,E1BLB5,Bos taurus,2,INPP5(1) [cytosol],,False,True,False
R-BTA-1806167,,F1MK34,Bos taurus,2,PI4K2A/2B [cytosol],,False,True,False
R-BTA-1806223,MTMR6,A0A3Q1LYK5,Bos taurus,2,"MTM1,MTMR1,MTMR3,MTMR6,MTMR14,SYNJ1,SYNJ2 [cytosol]",,False,True,False
R-BTA-3968346,,A0A3Q1MHQ7,Bos taurus,2,TPTE2-like proteins [Golgi membrane],,False,False,True
R-BTA-1604655,,,Bos taurus,2,PIK3C2A:Ca2+/Mg2+ [cytosol],magnesium(2+),True,False,False
R-BTA-191413,,,Bos taurus,2,SQLE:FAD [endoplasmic reticulum membrane],FAD,True,False,False
R-BTA-981569,,,Bos taurus,2,6(GGPS1:3Mg2+) [cytosol],magnesium(2+),True,False,False
R-BTA-981569,,,Bos taurus,2,6(GGPS1:3Mg2+) [cytosol],magnesium(2+),True,False,False
R-BTA-191277,HMGCR,A7Z064,Bos taurus,2,HMGCR dimer [endoplasmic reticulum membrane],,True,False,False
R-BTA-191397,IDI1,A0A140T853,Bos taurus,2,IDI1 or 2 [cytosol],,True,False,False
R-BTA-191320,,,Bos taurus,2,FDFT:Mg2+ [endoplasmic reticulum membrane],magnesium(2+),True,False,False
R-BTA-191320,,,Bos taurus,2,FDFT:Mg2+ [endoplasmic reticulum membrane],magnesium(2+),True,False,False
R-BTA-191341,MVD,Q0P570,Bos taurus,2,MVD dimer [cytosol],,True,False,False
R-BTA-2975806,CYP7A1,E1BM29,Bos taurus,2,Cytochrome P450 (CYP7B1 based) [endoplasmic reticulum membrane],,False,False,True
R-BTA-192115,,F6QQE8,Bos taurus,2,CYP27A1 [mitochondrial matrix],-,False,False,False
R-BTA-191975,AKR1D1,E1BBT0,Bos taurus,2,AKR1D1 [cytosol],-,False,False,False
R-BTA-3229260,LOC782884,E1BP71,Bos taurus,2,Aldo-keto reductase family [cytosol],,False,False,True
R-BTA-192115,,F6QQE8,Bos taurus,2,CYP27A1 [mitochondrial matrix],-,False,False,False
R-BTA-3219435,CYP7B1,A0A3Q1NAD5,Bos taurus,2,Cytochrome P450 (CYP7A1 based) [endoplasmic reticulum membrane],,False,False,True
R-BTA-192115,,F6QQE8,Bos taurus,2,CYP27A1 [mitochondrial matrix],-,False,False,False
R-BTA-192146,AMACR,F1MCN8,Bos taurus,2,AMACR [peroxisomal matrix],-,False,False,False
R-BTA-192202,CYP46A1,Q08DD0,Bos taurus,2,CYP46A1 [endoplasmic reticulum membrane],-,False,False,False
R-BTA-2975806,CYP7A1,E1BM29,Bos taurus,2,Cytochrome P450 (CYP7B1 based) [endoplasmic reticulum membrane],,False,False,True
R-BTA-191975,AKR1D1,E1BBT0,Bos taurus,2,AKR1D1 [cytosol],-,False,False,False
R-BTA-193441,HSD3B7,Q3MHF2,Bos taurus,2,HSD3B7 [endoplasmic reticulum membrane],-,False,False,False
R-BTA-192115,,F6QQE8,Bos taurus,2,CYP27A1 [mitochondrial matrix],-,False,False,False
R-BTA-191990,SLC27A5,A6QM10,Bos taurus,2,SLC27A5 [endoplasmic reticulum membrane],-,False,False,False
R-BTA-3229260,LOC782884,E1BP71,Bos taurus,2,Aldo-keto reductase family [cytosol],,False,False,True
R-BTA-192166,CYP39A1,A6H722,Bos taurus,2,CYP39A1 [endoplasmic reticulum membrane],-,False,False,False
R-BTA-192320,,,Bos taurus,2,ACOX2:FAD [peroxisomal matrix],FAD,True,False,False
R-BTA-196357,,P14893,Bos taurus,2,HSD2B1 or HSD3B2 dimer [endoplasmic reticulum membrane],,False,True,False
R-BTA-196357,,P14893,Bos taurus,2,HSD2B1 or HSD3B2 dimer [endoplasmic reticulum membrane],,False,True,False
R-BTA-192320,,,Bos taurus,2,ACOX2:FAD [peroxisomal matrix],FAD,True,False,False
R-BTA-193426,ACOT8,A0A3Q1N6L4,Bos taurus,2,ACOT8 [peroxisomal matrix],-,False,False,False
R-BTA-192115,,F6QQE8,Bos taurus,2,CYP27A1 [mitochondrial matrix],-,False,False,False
R-BTA-193386,,A0A3Q1M4C7,Bos taurus,2,SLC27A2 [endoplasmic reticulum membrane],-,False,False,False
R-BTA-191990,SLC27A5,A6QM10,Bos taurus,2,SLC27A5 [endoplasmic reticulum membrane],-,False,False,False
R-BTA-193386,,A0A3Q1M4C7,Bos taurus,2,SLC27A2 [endoplasmic reticulum membrane],-,False,False,False
R-BTA-192146,AMACR,F1MCN8,Bos taurus,2,AMACR [peroxisomal matrix],-,False,False,False
R-BTA-192115,,F6QQE8,Bos taurus,2,CYP27A1 [mitochondrial matrix],-,False,False,False
R-BTA-192115,,F6QQE8,Bos taurus,2,CYP27A1 [mitochondrial matrix],-,False,False,False
R-BTA-191990,SLC27A5,A6QM10,Bos taurus,2,SLC27A5 [endoplasmic reticulum membrane],-,False,False,False
R-BTA-192115,,F6QQE8,Bos taurus,2,CYP27A1 [mitochondrial matrix],-,False,False,False
R-BTA-192115,,F6QQE8,Bos taurus,2,CYP27A1 [mitochondrial matrix],-,False,False,False
R-BTA-193386,,A0A3Q1M4C7,Bos taurus,2,SLC27A2 [endoplasmic reticulum membrane],-,False,False,False
R-BTA-192146,AMACR,F1MCN8,Bos taurus,2,AMACR [peroxisomal matrix],-,False,False,False
R-BTA-192115,,F6QQE8,Bos taurus,2,CYP27A1 [mitochondrial matrix],-,False,False,False
R-BTA-193386,,A0A3Q1M4C7,Bos taurus,2,SLC27A2 [endoplasmic reticulum membrane],-,False,False,False
R-BTA-191975,AKR1D1,E1BBT0,Bos taurus,2,AKR1D1 [cytosol],-,False,False,False
R-BTA-191975,AKR1D1,E1BBT0,Bos taurus,2,AKR1D1 [cytosol],-,False,False,False
R-BTA-3229260,LOC782884,E1BP71,Bos taurus,2,Aldo-keto reductase family [cytosol],,False,False,True
R-BTA-192146,AMACR,F1MCN8,Bos taurus,2,AMACR [peroxisomal matrix],-,False,False,False
R-BTA-191990,SLC27A5,A6QM10,Bos taurus,2,SLC27A5 [endoplasmic reticulum membrane],-,False,False,False
R-BTA-192115,,F6QQE8,Bos taurus,2,CYP27A1 [mitochondrial matrix],-,False,False,False
R-BTA-3229260,LOC782884,E1BP71,Bos taurus,2,Aldo-keto reductase family [cytosol],,False,False,True
R-BTA-192115,,F6QQE8,Bos taurus,2,CYP27A1 [mitochondrial matrix],-,False,False,False
R-BTA-193441,HSD3B7,Q3MHF2,Bos taurus,2,HSD3B7 [endoplasmic reticulum membrane],-,False,False,False
R-BTA-192115,,F6QQE8,Bos taurus,2,CYP27A1 [mitochondrial matrix],-,False,False,False
R-BTA-3229260,LOC782884,E1BP71,Bos taurus,2,Aldo-keto reductase family [cytosol],,False,False,True
R-BTA-193441,HSD3B7,Q3MHF2,Bos taurus,2,HSD3B7 [endoplasmic reticulum membrane],-,False,False,False
R-BTA-191975,AKR1D1,E1BBT0,Bos taurus,2,AKR1D1 [cytosol],-,False,False,False
R-BTA-191975,AKR1D1,E1BBT0,Bos taurus,2,AKR1D1 [cytosol],-,False,False,False
R-BTA-3229260,LOC782884,E1BP71,Bos taurus,2,Aldo-keto reductase family [cytosol],,False,False,True
R-BTA-196357,,P14893,Bos taurus,2,HSD2B1 or HSD3B2 dimer [endoplasmic reticulum membrane],,False,True,False
R-BTA-194028,,G3X6I9,Bos taurus,2,CYP21A2 [endoplasmic reticulum membrane],-,False,False,False
R-BTA-194019-3,LOC112449566,F1MU47,Bos taurus,2,Homologues of CYP11B2 [mitochondrial inner membrane],,False,True,False
R-BTA-194028,,G3X6I9,Bos taurus,2,CYP21A2 [endoplasmic reticulum membrane],-,False,False,False
R-BTA-194019-3,LOC112449566,F1MU47,Bos taurus,2,Homologues of CYP11B2 [mitochondrial inner membrane],,False,True,False
R-BTA-194019-3,LOC112449566,F1MU47,Bos taurus,2,Homologues of CYP11B2 [mitochondrial inner membrane],,False,True,False
R-BTA-194019-3,LOC112449566,F1MU47,Bos taurus,2,Homologues of CYP11B2 [mitochondrial inner membrane],,False,True,False
R-BTA-193980,,F6PTG3,Bos taurus,2,HSD11B1 dimer [endoplasmic reticulum membrane],,True,False,False
R-BTA-194173,SLC10A2,F1N5D8,Bos taurus,2,SLC10A2 [plasma membrane],-,False,False,False
R-BTA-194648,MSMO1,A6H7G3,Bos taurus,2,MSMO1 [endoplasmic reticulum membrane],-,False,False,False
R-BTA-194707,NSDHL,Q3ZBE9,Bos taurus,2,NSDHL [endoplasmic reticulum membrane],-,False,False,False
R-BTA-194648,MSMO1,A6H7G3,Bos taurus,2,MSMO1 [endoplasmic reticulum membrane],-,False,False,False
R-BTA-194637,LBR,A6QQV8,Bos taurus,2,LBR [nuclear envelope],-,False,False,False
R-BTA-194721,CYP51A1,Q4PJW3,Bos taurus,2,CYP51A1 [endoplasmic reticulum membrane],-,False,False,False
R-BTA-194707,NSDHL,Q3ZBE9,Bos taurus,2,NSDHL [endoplasmic reticulum membrane],-,False,False,False
R-BTA-195662,SC5D,A0A3Q1MF09,Bos taurus,2,SC5D [endoplasmic reticulum membrane],-,False,False,False
R-BTA-195697,EBP,Q3ZBT8,Bos taurus,2,EBP [endoplasmic reticulum membrane],-,False,False,False
R-BTA-196063,,A0A3Q1M9Q1,Bos taurus,2,AKR1B1 [cytosol],-,False,False,False
R-BTA-196086,-,-,Bos taurus,2,dissociation,-,False,False,False
R-BTA-196126,-,-,Bos taurus,2,transition,-,False,False,False
R-BTA-196357,,P14893,Bos taurus,2,HSD2B1 or HSD3B2 dimer [endoplasmic reticulum membrane],,False,True,False
R-BTA-196357,,P14893,Bos taurus,2,HSD2B1 or HSD3B2 dimer [endoplasmic reticulum membrane],,False,True,False
R-BTA-196414,,A0A3Q1M7E0,Bos taurus,2,DHCR24 [endoplasmic reticulum membrane],-,False,False,False
R-BTA-549205,CPT1A,A0A3Q1LMV3,Bos taurus,2,"CPT1A,B [mitochondrial outer membrane]",,False,True,False
R-BTA-200557,,Q3SZA4,Bos taurus,2,SLC25A20 [mitochondrial inner membrane],-,False,False,False
R-BTA-3878115,,F1MEX9,Bos taurus,2,"ACSL1,3,5,6 [endoplasmic reticulum membrane]",,False,True,False
R-BTA-2046072,,Q2KJD9,Bos taurus,2,ELOVL5/ELOVL2 [endoplasmic reticulum membrane],,False,True,False
R-BTA-2046069,FADS2,A4FV48,Bos taurus,2,FADS2 [endoplasmic reticulum membrane],-,False,False,False
R-BTA-2046075,ACSL1,A0A3Q1LWT4,Bos taurus,2,ACSL1 [endoplasmic reticulum membrane],,True,False,False
R-BTA-382566,,Q2KJ57,Bos taurus,2,ABCD1 [peroxisomal membrane],-,False,False,False
R-BTA-5676214,,Q2KJD9,Bos taurus,2,"ELOVL1,2,3,5 [endoplasmic reticulum membrane]",,False,True,False
R-BTA-400122,FADS1,A0A3Q1MF38,Bos taurus,2,FADS1 [endoplasmic reticulum membrane],-,False,False,False
R-BTA-548677,ELOVL2,A4FUF2,Bos taurus,2,ELOVL2 [endoplasmic reticulum membrane],-,False,False,False
R-BTA-400122,FADS1,A0A3Q1MF38,Bos taurus,2,FADS1 [endoplasmic reticulum membrane],-,False,False,False
R-BTA-382566,,Q2KJ57,Bos taurus,2,ABCD1 [peroxisomal membrane],-,False,False,False
R-BTA-5676214,,Q2KJD9,Bos taurus,2,"ELOVL1,2,3,5 [endoplasmic reticulum membrane]",,False,True,False
R-BTA-548677,ELOVL2,A4FUF2,Bos taurus,2,ELOVL2 [endoplasmic reticulum membrane],-,False,False,False
R-BTA-2046069,FADS2,A4FV48,Bos taurus,2,FADS2 [endoplasmic reticulum membrane],-,False,False,False
R-BTA-2046069,FADS2,A4FV48,Bos taurus,2,FADS2 [endoplasmic reticulum membrane],-,False,False,False
R-BTA-2046075,ACSL1,A0A3Q1LWT4,Bos taurus,2,ACSL1 [endoplasmic reticulum membrane],,True,False,False
R-BTA-2046072,,Q2KJD9,Bos taurus,2,ELOVL5/ELOVL2 [endoplasmic reticulum membrane],,False,True,False
R-BTA-2065539,-,-,Bos taurus,2,transition,-,False,False,False
R-BTA-2065549,-,-,Bos taurus,2,binding,-,False,False,False
R-BTA-2065550,-,-,Bos taurus,2,binding,-,False,False,False
R-BTA-193426,ACOT8,A0A3Q1N6L4,Bos taurus,2,ACOT8 [peroxisomal matrix],-,False,False,False
R-BTA-390238,ACAA1,Q3ZC41,Bos taurus,2,ACAA1 [peroxisomal matrix],-,False,False,False
R-BTA-209738,-,-,Bos taurus,2,binding,-,False,False,False
R-BTA-209760,-,-,Bos taurus,2,omitted,-,False,False,False
R-BTA-209969,CYP24A1,E1BKM8,Bos taurus,2,CYP24A1 [mitochondrial inner membrane],-,False,False,False
R-BTA-209941,,A0A3Q1MPH7,Bos taurus,2,CYP2R1 [endoplasmic reticulum membrane],-,False,False,False
R-BTA-209979,CYP27B1,E1BN35,Bos taurus,2,CYP27B1 [mitochondrial outer membrane],-,False,False,False
R-BTA-209944,-,-,Bos taurus,2,binding,-,False,False,False
R-BTA-2161611,LOC784417,F1N3I8,Bos taurus,2,Cytochrome P450 (CYP4F2/4F3 based) [endoplasmic reticulum membrane],,False,False,True
R-BTA-192142-2,LOC782884,E1BP71,Bos taurus,2,LOC782884 [cytosol],-,False,False,False
R-BTA-192142-2,LOC782884,E1BP71,Bos taurus,2,LOC782884 [cytosol],-,False,False,False
R-BTA-2142814,PTGDS,O02853,Bos taurus,2,PTGDS [endoplasmic reticulum membrane],-,False,False,False
R-BTA-2142784-3,MGC127133,Q3T0T9,Bos taurus,2,Homologues of CBR1 [cytosol],,False,True,False
R-BTA-2142686,,,Bos taurus,2,PTGES trimer [endoplasmic reticulum membrane],glutathione,True,False,False
R-BTA-2142683,HPGDS,F1MGZ9,Bos taurus,2,HPGDS dimer [cytosol],,True,False,False
R-BTA-2161611,LOC784417,F1N3I8,Bos taurus,2,Cytochrome P450 (CYP4F2/4F3 based) [endoplasmic reticulum membrane],,False,False,True
R-BTA-2142793,,,Bos taurus,2,ALOX12:Fe2+ [cytosol],iron(2+),True,False,False
R-BTA-2142778,HPGD,Q309F3,Bos taurus,2,HPGD dimer [cytosol],,True,False,False
